_id,co_mun,no_mun,ano,variavel,pop_categoria,pop_subcategoria,valor
331,2705200,Messias,1970,População residente censitária,Total,Total,6216
332,2705200,Messias,1980,População residente censitária,Total,Total,7467
333,2705200,Messias,1991,População residente censitária,Total,Total,10564
334,2705200,Messias,2000,População residente censitária,Total,Total,11990
335,2705200,Messias,2010,População residente censitária,Total,Total,15682
336,2705200,Messias,2022,População residente censitária,Total,Total,15405
337,2705309,Minador do Negrão,1970,População residente censitária,Total,Total,7365
338,2705309,Minador do Negrão,1980,População residente censitária,Total,Total,8246
339,2705309,Minador do Negrão,1991,População residente censitária,Total,Total,9355
340,2705309,Minador do Negrão,2000,População residente censitária,Total,Total,5399
341,2705309,Minador do Negrão,2010,População residente censitária,Total,Total,5275
342,2705309,Minador do Negrão,2022,População residente censitária,Total,Total,4845
343,2705408,Monteirópolis,1970,População residente censitária,Total,Total,4721
344,2705408,Monteirópolis,1980,População residente censitária,Total,Total,5420
345,2705408,Monteirópolis,1991,População residente censitária,Total,Total,6140
346,2705408,Monteirópolis,2000,População residente censitária,Total,Total,7240
347,2705408,Monteirópolis,2010,População residente censitária,Total,Total,6935
348,2705408,Monteirópolis,2022,População residente censitária,Total,Total,7184
349,2705507,Murici,1970,População residente censitária,Total,Total,26599
350,2705507,Murici,1980,População residente censitária,Total,Total,25855
351,2705507,Murici,1991,População residente censitária,Total,Total,28724
352,2705507,Murici,2000,População residente censitária,Total,Total,24671
353,2705507,Murici,2010,População residente censitária,Total,Total,26710
354,2705507,Murici,2022,População residente censitária,Total,Total,25187
355,2705606,Novo Lino,1970,População residente censitária,Total,Total,13269
356,2705606,Novo Lino,1980,População residente censitária,Total,Total,14660
357,2705606,Novo Lino,1991,População residente censitária,Total,Total,14553
358,2705606,Novo Lino,2000,População residente censitária,Total,Total,10375
359,2705606,Novo Lino,2010,População residente censitária,Total,Total,12060
360,2705606,Novo Lino,2022,População residente censitária,Total,Total,10024
361,2705705,Olho d'Água das Flores,1970,População residente censitária,Total,Total,10707
362,2705705,Olho d'Água das Flores,1980,População residente censitária,Total,Total,13922
363,2705705,Olho d'Água das Flores,1991,População residente censitária,Total,Total,15653
364,2705705,Olho d'Água das Flores,2000,População residente censitária,Total,Total,19417
365,2705705,Olho d'Água das Flores,2010,População residente censitária,Total,Total,20364
366,2705705,Olho d'Água das Flores,2022,População residente censitária,Total,Total,20695
367,2705804,Olho d'Água do Casado,1970,População residente censitária,Total,Total,2614
368,2705804,Olho d'Água do Casado,1980,População residente censitária,Total,Total,4079
369,2705804,Olho d'Água do Casado,1991,População residente censitária,Total,Total,6414
370,2705804,Olho d'Água do Casado,2000,População residente censitária,Total,Total,7059
371,2705804,Olho d'Água do Casado,2010,População residente censitária,Total,Total,8491
372,2705804,Olho d'Água do Casado,2022,População residente censitária,Total,Total,8349
373,2705903,Olho d'Água Grande,1970,População residente censitária,Total,Total,4333
374,2705903,Olho d'Água Grande,1980,População residente censitária,Total,Total,4620
375,2705903,Olho d'Água Grande,1991,População residente censitária,Total,Total,4413
376,2705903,Olho d'Água Grande,2000,População residente censitária,Total,Total,4847
377,2705903,Olho d'Água Grande,2010,População residente censitária,Total,Total,4957
378,2705903,Olho d'Água Grande,2022,População residente censitária,Total,Total,4330
379,2706000,Olivença,1970,População residente censitária,Total,Total,8657
380,2706000,Olivença,1980,População residente censitária,Total,Total,9523
381,2706000,Olivença,1991,População residente censitária,Total,Total,10130
382,2706000,Olivença,2000,População residente censitária,Total,Total,10369
383,2706000,Olivença,2010,População residente censitária,Total,Total,11047
384,2706000,Olivença,2022,População residente censitária,Total,Total,10812
385,2706109,Ouro Branco,1970,População residente censitária,Total,Total,6171
386,2706109,Ouro Branco,1980,População residente censitária,Total,Total,8768
387,2706109,Ouro Branco,1991,População residente censitária,Total,Total,9346
388,2706109,Ouro Branco,2000,População residente censitária,Total,Total,10077
389,2706109,Ouro Branco,2010,População residente censitária,Total,Total,10912
390,2706109,Ouro Branco,2022,População residente censitária,Total,Total,11446
391,2706208,Palestina,1970,População residente censitária,Total,Total,2274
392,2706208,Palestina,1980,População residente censitária,Total,Total,2490
393,2706208,Palestina,1991,População residente censitária,Total,Total,3628
394,2706208,Palestina,2000,População residente censitária,Total,Total,4523
395,2706208,Palestina,2010,População residente censitária,Total,Total,5112
396,2706208,Palestina,2022,População residente censitária,Total,Total,4325
397,2706307,Palmeira dos Índios,1970,População residente censitária,Total,Total,61860
398,2706307,Palmeira dos Índios,1980,População residente censitária,Total,Total,66930
399,2706307,Palmeira dos Índios,1991,População residente censitária,Total,Total,77204
400,2706307,Palmeira dos Índios,2000,População residente censitária,Total,Total,68060
401,2706307,Palmeira dos Índios,2010,População residente censitária,Total,Total,70368
